,duree,nb_films,flag
0,90,650,not selected
1,100,567,not selected
2,95,563,not selected
3,97,494,not selected
4,93,492,not selected
5,96,479,not selected
6,98,477,not selected
7,105,472,not selected
8,91,455,not selected
9,94,442,not selected
10,102,440,not selected
11,92,427,not selected
12,99,405,not selected
13,104,400,not selected
14,101,396,not selected
15,110,392,not selected
16,103,384,not selected
17,88,372,not selected
18,108,367,not selected
19,106,364,not selected
20,89,349,not selected
21,107,338,not selected
22,85,313,not selected
23,112,299,not selected
24,86,284,not selected
25,87,278,not selected
26,109,263,not selected
27,115,261,not selected
28,111,255,not selected
29,113,242,not selected
30,116,228,not selected
31,118,227,not selected
32,120,218,not selected
33,114,218,not selected
34,84,212,not selected
35,117,204,not selected
36,119,183,not selected
37,83,181,not selected
38,80,171,not selected
39,124,162,not selected
40,82,161,not selected
41,123,150,not selected
42,122,149,not selected
43,125,132,not selected
44,121,132,not selected
45,130,125,not selected
46,81,123,not selected
47,128,119,not selected
48,127,118,not selected
49,129,105,not selected
50,126,100,not selected
51,132,89,not selected
52,78,85,not selected
53,134,83,not selected
54,135,77,not selected
55,77,72,not selected
56,75,71,not selected
57,79,69,not selected
58,133,65,not selected
59,131,63,not selected
60,138,60,not selected
61,140,60,not selected
62,137,59,not selected
63,139,52,not selected
64,136,49,not selected
65,76,49,not selected
66,143,46,not selected
67,141,45,not selected
68,144,41,not selected
69,150,37,not selected
70,74,37,not selected
71,142,36,not selected
72,72,32,not selected
73,71,32,not selected
74,70,31,not selected
75,145,30,not selected
76,146,27,not selected
77,68,26,not selected
78,73,25,not selected
79,69,22,not selected
80,155,22,not selected
81,154,21,not selected
82,149,21,not selected
83,162,19,not selected
84,147,18,not selected
85,67,17,not selected
86,152,17,not selected
87,157,17,not selected
88,170,16,not selected
89,153,16,not selected
90,158,16,not selected
91,180,15,not selected
92,165,15,not selected
93,65,15,not selected
94,163,15,not selected
95,148,15,not selected
96,151,14,not selected
97,161,14,not selected
98,66,13,not selected
99,63,12,not selected
100,160,12,not selected
101,60,11,not selected
102,159,10,not selected
103,168,10,not selected
104,175,10,not selected
105,156,10,not selected
106,178,10,not selected
107,167,9,not selected
108,61,9,not selected
109,172,9,not selected
110,169,9,not selected
111,164,9,not selected
112,186,8,not selected
113,45,7,not selected
114,183,7,not selected
115,177,7,not selected
116,189,6,not selected
117,59,6,not selected
118,171,6,not selected
119,174,6,not selected
120,64,6,not selected
121,62,6,not selected
122,166,6,not selected
123,181,5,not selected
124,55,5,not selected
125,188,5,not selected
126,191,5,not selected
127,47,5,not selected
128,54,5,not selected
129,50,5,not selected
130,195,4,not selected
131,179,4,not selected
132,210,4,not selected
133,57,4,not selected
134,176,4,not selected
135,185,4,not selected
136,182,4,not selected
137,208,4,not selected
138,48,3,not selected
139,56,3,not selected
140,192,3,not selected
141,173,3,not selected
142,46,3,not selected
143,238,3,not selected
144,197,3,not selected
145,205,2,not selected
146,51,2,not selected
147,206,2,not selected
148,220,2,not selected
149,219,2,not selected
150,207,2,not selected
151,193,2,not selected
152,187,2,not selected
153,202,2,not selected
154,260,2,not selected
155,58,2,not selected
156,217,2,not selected
157,53,2,not selected
158,216,2,not selected
159,184,2,not selected
160,52,2,not selected
161,199,2,not selected
162,201,2,not selected
163,241,1,not selected
164,272,1,not selected
165,288,1,not selected
166,49,1,not selected
167,271,1,not selected
168,321,1,not selected
169,194,1,not selected
170,366,1,not selected
171,190,1,not selected
172,317,1,not selected
173,253,1,not selected
174,237,1,not selected
175,204,1,not selected
176,298,1,not selected
177,345,1,not selected
178,41,1,not selected
179,200,1,not selected
180,239,1,not selected
181,230,1,not selected
182,245,1,not selected
183,229,1,not selected
184,213,1,not selected
185,228,1,not selected
186,212,1,not selected
187,196,1,not selected
188,275,1,not selected
189,227,1,not selected
190,242,1,not selected
191,439,1,not selected
